recid,recipename,image,description,rest,ingredients
1,Cherry-Mocha Smoothie,Cherry-Mocha-Smoothie.png,"For a fast-paced breakfast on the go, give your blender a whirl…"," For a fast-paced breakfast on the go, give your blender a whirl.Heart disease doesn't stand a chance thanks to the healthy fats from the almond butter and health-boosting phytonutrients in the cocoa powder and cherries in this tasty breakfast smoothie.","6½ cups low-fat milk, divided

1½ cups low-fat vanilla yogurt, divided

3 large bananas, divided

1 cup frozen blackberries or blueberries

1 cup frozen mango chunks

1 cup frozen raspberries or strawberries

Star fruit, kiwi, mixed berries and chia seeds for garnish"
2,Creamy Strawberry Smoothie,Creamy-Strawberry-Smoothie.png,It's hard to beat this recipe for quick and easy strawberry smoothies. All you need is five ingredients and five minutes…,"It's hard to beat this recipe for quick and easy strawberry smoothies. All you need is five ingredients and five minutes.It's versatile too: you can use any unsweetened milk for creaminess, your preferred yogurt, and the maple syrup or honey is optional. The vanilla extract acts as a great flavor backdrop that will work with most fruits. Get blending!","5 cups packed baby spinach

1 cup hulled fresh strawberries

1/3 cup frozen unsweetened seedless passion fruit (about 15 pieces; such as Pitaya Foods)

1/2 cup unsweetened coconut milk beverage

1 tablespoon hemp seeds

1 tablespoon salted roasted pistachios or pistachio butter"
3,Mango Raspberry Smoothie,Mango-Raspberry-Smoothie.png,A squeeze of lemon juice adds bright flavor to this frozen fruit smoothie. Mango provides plenty of sweetness…,"A squeeze of lemon juice adds bright flavor to this frozen fruit smoothie. Mango provides plenty of sweetness without having to add juice, but if it's too tart for you, a touch of agave will do the trick.","5½ cups low-fat milk, divided

1½ cups low-fat vanilla yogurt, divided

3 large bananas, divided

1 cup frozen blackberries or blueberries

1 cup frozen mango chunks

1 cup frozen raspberries or strawberries

Star fruit, kiwi, mixed berries and chia seeds for garnish"
4,Apple-Peanut Butter Smoothie,Apple-Peanut-Butter-Smoothie.png,Apples and peanut butter are a classic pair. Try them blended…, Apples and peanut butter are a classic pair. Try them blended together in this healthy smoothie recipe.,"4 cups packed baby spinach

1 cup hulled fresh strawberries

1/3 cup frozen unsweetened seedless passion fruit (about 15 pieces; such as Pitaya Foods)

1/2 cup unsweetened coconut milk beverage

1 tablespoon hemp seeds

1 tablespoon salted roasted pistachios or pistachio butter"
5,Berry-Mint Kefir Smoothies,Berry-Mint-Kefir-Smoothies.png,"Kefir is similar to yogurt, full of gut-friendly probiotics. But it has fewer carbs and…"," Kefir is similar to yogurt, full of gut-friendly probiotics. But it has fewer carbs and a more drinkable consistency--perfect for smoothies.","4½ cups low-fat milk, divided

1½ cups low-fat vanilla yogurt, divided

3 large bananas, divided

1 cup frozen blackberries or blueberries

1 cup frozen mango chunks

1 cup frozen raspberries or strawberries

Star fruit, kiwi, mixed berries and chia seeds for garnish"
6,Mango & Spinach Smoothie,Mango-&-Spinach-Smoothie.png,"The sweet-tart taste of mango comes through in this simple smoothie, giving the tropical…","The sweet-tart taste of mango comes through in this simple smoothie, giving the tropical fruit the spotlight it deserves. Make it a mango morning!","3 cups packed baby spinach

1 cup hulled fresh strawberries

1/3 cup frozen unsweetened seedless passion fruit (about 15 pieces; such as Pitaya Foods)

1/2 cup unsweetened coconut milk beverage

1 tablespoon hemp seeds

1 tablespoon salted roasted pistachios or pistachio butter"
7,Almond Butter & Banana Protein Smoothie,Almond-Butter-&-Banana-Protein-Smoothie.png,Almond butter adds nutty flavor plus 7 grams of protein to this…," Almond butter adds nutty flavor plus 7 grams of protein to this healthy, protein-rich banana smoothie.","3½ cups low-fat milk, divided

1½ cups low-fat vanilla yogurt, divided

3 large bananas, divided

1 cup frozen blackberries or blueberries

1 cup frozen mango chunks

1 cup frozen raspberries or strawberries

Star fruit, kiwi, mixed berries and chia seeds for garnish"
8,Chocolate-Peanut Butter Protein Shake,Chocolate-Peanut-Butter-Protein-Shake.png,This creamy high-protein shake will keep you satisfied for hours and tastes like a chocolate-peanut butter banana milkshake…," This creamy high-protein shake will keep you satisfied for hours and tastes like a chocolate-peanut butter banana milkshake.You don't even need to add protein powder, thanks to the naturally occurring protein in the soymilk, Greek yogurt and peanut butter.","2 cups packed baby spinach

1 cup hulled fresh strawberries

1/3 cup frozen unsweetened seedless passion fruit (about 15 pieces; such as Pitaya Foods)

1/2 cup unsweetened coconut milk beverage

1 tablespoon hemp seeds

1 tablespoon salted roasted pistachios or pistachio butter"
9,"Spinach, Peanut Butter & Banana Smoothie",Spinach-Peanut-Butter-&-Banana-Smoothie.png,Peanut butter and banana is a classic combo that's even more delicious with the addition of tangy probiotic-rich kefir…,"Peanut butter and banana is a classic combo that's even more delicious with the addition of tangy probiotic-rich kefir.Plus, this peanut butter banana smoothie helps you up your veggie servings for the day with a bit of mild-flavored spinach mixed in.","2½ cups low-fat milk, divided

1½ cups low-fat vanilla yogurt, divided

3 large bananas, divided

1 cup frozen blackberries or blueberries

1 cup frozen mango chunks

1 cup frozen raspberries or strawberries

Star fruit, kiwi, mixed berries and chia seeds for garnish"
10,Strawberry-Pineapple Smoothie,Strawberry-Pineapple-Smoothie.png,"Blend almond milk, strawberry and pineapple for a smoothie that's so easy you can make it on busy mornings…","Blend almond milk, strawberry and pineapple for a smoothie that's so easy you can make it on busy mornings.A bit of almond butter adds richness and filling protein. Freeze some of the almond milk for an extra-icy texture.","1 cups packed baby spinach

1 cup hulled fresh strawberries

1/3 cup frozen unsweetened seedless passion fruit (about 15 pieces; such as Pitaya Foods)

1/2 cup unsweetened coconut milk beverage

1 tablespoon hemp seeds

1 tablespoon salted roasted pistachios or pistachio butter"
